state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,genvar_10,genvar_11,genvar_12,genvar_13,genvar_14,ank_ang,ank_vel,shank_ang,shank_vel,global_shank_ang,ank_pos_x,ank_pos_y,ank_pos_z,ank_linear_vel_x,ank_linear_vel_y,ank_linear_vel_z,mot_from_ank,ank_from_mot,trans_ratio,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,intermediate_state,movement,speed,incline,sys_time,event flags
641501,49,-2048,257,94,-4,180,14447,103,46,325,112,35049,-6,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,7,0,63,38,3856,54,920,5,-86,-6,-24,0,-7,11,5,19761,2845,1165,553,13660,-7584,302,13301,-4,0,0,-52,-1,641492,0
641511,64,-2058,275,96,-3,203,14494,90,22,192,104,35056,-15,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,7,0,65,38,3860,43,925,6,-81,-6,-24,0,-7,11,5,19784,2854,1166,326,13660,-7584,302,13311,-4,0,0,-52,-1,641516,0
641521,67,-2053,293,91,-10,231,14534,65,-11,169,120,35053,-8,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,3,7,0,68,38,3871,76,932,7,-76,-6,-24,0,-7,11,5,19843,2862,1166,287,13660,-7584,302,13321,-4,0,0,-52,-1,641519,0
641531,87,-2054,295,83,-13,244,14547,10,-72,327,136,35046,8,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,0,70,39,3878,98,939,7,-70,-6,-24,0,-7,11,5,19877,2864,1166,556,13660,-7584,302,13331,-4,0,0,-52,-1,641525,0
641541,45,-2062,285,73,-24,270,14561,40,-43,469,168,35057,20,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,0,73,39,3884,76,947,8,-63,-6,-24,0,-7,11,5,19912,2867,1166,798,13660,-7584,302,13341,-4,0,0,-52,-1,641530,0
641551,42,-2062,288,73,-29,285,14600,94,61,379,192,35070,2,38,127,0,0,1,1,1,0,100,100,100,0,0,-1,1,7,0,75,39,3893,109,955,8,-55,-6,-24,0,-7,11,5,19959,2875,1166,645,13660,-7584,302,13351,-4,0,0,-52,-1,641530,0
641561,-6,-2055,281,64,-30,284,14647,124,60,394,232,35084,-16,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,2,2,40,3902,98,964,8,-47,-6,-24,0,-7,11,5,20006,2884,1167,671,13660,-7584,302,13361,-4,0,0,-52,-1,641580,0
641571,35,-2056,281,59,-31,284,14716,164,62,298,136,35078,-29,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,2,4,40,3911,76,973,8,-38,-6,-24,0,-7,11,5,20052,2897,1167,507,13660,-7584,302,13371,-4,0,0,-52,-1,641580,0
641581,-1,-2065,275,62,-29,270,14781,126,21,226,136,35067,-15,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,2,7,40,3919,109,981,8,-29,-6,-24,0,-7,11,5,20099,2910,1167,385,13660,-7584,302,13381,-4,0,0,-52,-1,641596,0
641591,-15,-2053,281,69,-30,259,14823,85,-46,268,112,35069,-9,38,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,7,1,9,41,3930,98,989,7,-20,-6,-24,0,-7,11,5,20157,2918,1168,457,13660,-7584,302,13391,-4,0,0,-52,-1,641597,0
