state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,genvar_10,genvar_11,genvar_12,genvar_13,genvar_14,ank_ang,ank_vel,shank_ang,shank_vel,global_shank_ang,ank_pos_x,ank_pos_y,ank_pos_z,ank_linear_vel_x,ank_linear_vel_y,ank_linear_vel_z,mot_from_ank,ank_from_mot,trans_ratio,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,intermediate_state,movement,speed,incline,sys_time,event flags
605188,137,-2050,299,-99,-33,-78,13114,1,33,-267,-64,35047,-17,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,46,24,3584,-27,2127,-2,81,6,-13,0,-3,3,0,18306,2594,1158,0,12984,-6124,287,5548,-4,0,0,-47,0,605190,0
605198,151,-2044,298,-100,-39,-67,13110,-18,25,-327,-96,35057,-31,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,49,25,3587,10,2125,-2,74,6,-13,0,-3,3,0,18318,2593,1158,0,12984,-6124,287,5558,-4,0,0,-47,0,605190,0
605208,137,-2048,293,-102,-38,-59,13104,-2,-7,-308,-112,35058,-20,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,51,25,3584,-16,2123,-1,68,6,-13,0,-3,3,0,18306,2592,1158,0,12984,-6124,287,5568,-4,0,0,-47,0,605190,0
605218,118,-2045,288,-103,-42,-55,13095,-27,-3,-296,-96,35057,-14,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,5,1,54,25,3584,-5,2122,-1,62,6,-13,0,-3,3,0,18306,2590,1158,0,12984,-6124,287,5578,-4,0,0,-47,0,605222,0
605228,121,-2046,281,-93,-36,-58,13083,-34,-14,-258,-48,35051,-14,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,5,1,56,25,3580,10,2120,-1,56,6,-13,0,-3,3,0,18283,2588,1158,0,12984,-6124,287,5588,-4,0,0,-47,0,605224,0
605238,127,-2050,281,-94,-35,-61,13065,-53,-15,-151,-32,35052,-28,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,59,26,3574,-65,2118,-1,50,6,-13,0,-3,3,0,18253,2584,1158,0,12984,-6124,287,5598,-4,0,0,-47,0,605228,0
605248,133,-2052,279,-92,-30,-72,13052,-17,0,-66,-8,35049,-36,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,61,26,3578,-54,2116,-2,44,6,-13,0,-3,3,0,18271,2582,1158,0,12984,-6124,287,5608,-4,0,0,-47,0,605240,0
605258,136,-2038,292,-85,-35,-63,13053,-1,43,-148,-32,35049,-17,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,64,26,3579,-5,2114,-1,38,6,-13,0,-3,3,0,18277,2582,1158,0,12984,-6124,287,5618,-4,0,0,-47,0,605240,0
605268,115,-2049,293,-79,-39,-68,13049,2,14,-145,-48,35050,-9,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,1,5,1,66,26,3577,-16,2112,-2,32,6,-13,0,-3,3,0,18265,2581,1158,0,12984,-6124,287,5628,-4,0,0,-47,0,605257,0
605278,109,-2053,296,-83,-36,-69,13046,2,-2,-152,-40,35064,-7,39,127,0,0,1,0,1,0,100,0,100,0,0,-1,2,5,1,69,27,3577,-27,2110,-2,27,6,-13,0,-3,3,0,18265,2580,1158,0,12984,-6124,287,5638,-4,0,0,-47,0,605257,0
