state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,genvar_10,genvar_11,genvar_12,genvar_13,genvar_14,ank_ang,ank_vel,shank_ang,shank_vel,global_shank_ang,ank_pos_x,ank_pos_y,ank_pos_z,ank_linear_vel_x,ank_linear_vel_y,ank_linear_vel_z,mot_from_ank,ank_from_mot,trans_ratio,ank_torque,peak_ank_torque,step_energy,step_count,step_time,gait_state,intermediate_state,movement,speed,incline,sys_time,event flags
567479,-1567,-2224,-147,363,-822,1958,10943,10,198,78,72,35085,-38,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,49,6,30,49,0,3192,241,1815,59,713,11,-14,0,-2,5,0,16254,2168,1150,130,9826,-4228,272,3959,-4,0,0,-73,0,567469,0
567489,-921,-1596,-68,62,-722,2202,10990,147,257,432,488,35084,-50,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,31,6,30,52,-1,3249,604,1879,67,800,11,-14,0,-5,17,-1,16552,2177,1151,726,9826,-4228,272,3969,-4,0,0,-71,0,567491,0
567499,-595,-2013,165,151,-761,2367,11129,378,296,666,1096,35075,-67,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,31,6,30,54,-3,3346,988,1950,72,886,11,-14,0,-9,26,-5,17056,2204,1153,1121,9826,-4228,272,3979,-4,0,0,-68,0,567494,0
567509,-196,-2147,170,267,-921,1818,11384,634,410,645,1616,35074,-52,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,26,6,30,57,-5,3436,878,2015,55,951,11,-14,0,-9,29,-6,17527,2254,1155,1088,9826,-4228,272,3989,-4,0,0,-65,0,567514,0
567519,62,-2079,382,311,-1153,1525,11723,780,383,456,1664,35090,-33,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,24,7,30,59,-7,3504,648,2066,46,994,11,-13,0,-10,28,-5,17884,2321,1156,770,9826,-4228,272,3999,-4,0,0,-62,0,567514,0
567529,105,-2089,544,171,-1436,1484,12087,800,184,301,1504,35088,-23,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,19,7,30,62,-10,3559,549,2111,45,1025,10,-13,0,-10,26,-4,18173,2393,1158,508,9826,-4228,272,4009,-4,0,0,-60,0,567514,0
567539,-111,-2072,506,109,-1448,1469,12435,754,-4,264,1376,35088,-18,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,18,7,30,64,-12,3618,560,2156,44,1059,10,-13,0,-10,26,-3,18490,2461,1159,446,9826,-4228,272,4019,-4,0,0,-57,0,567564,0
567549,-275,-2026,442,38,-1423,1279,12765,717,-64,268,1416,35080,-19,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,18,7,30,67,-14,3676,604,2198,39,1098,10,-12,0,-10,27,-3,18797,2526,1161,454,9826,-4228,272,4029,-4,0,0,-56,0,567579,0
567559,-214,-2132,668,32,-1488,1045,13080,696,-56,286,1264,35085,-28,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,15,7,30,69,-14,3722,428,2234,31,1129,10,-12,0,-10,28,-2,19046,2587,1162,485,9826,-4228,272,4039,-4,0,0,-53,0,567579,0
567569,-7,-2049,785,-102,-1735,704,13377,633,-54,232,1152,35091,-34,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,17,8,30,72,-15,3755,329,2260,21,1147,10,-12,0,-9,27,-1,19223,2644,1163,393,9826,-4228,272,4049,-4,0,0,-51,0,567579,0
567579,-79,-2070,676,-205,-1927,527,13647,568,-96,177,800,35081,-51,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,14,8,30,74,0,3772,164,2279,16,1155,10,-12,0,-8,25,0,19318,2694,1163,300,9826,-4228,272,4059,-4,0,0,-49,0,567579,0
567589,-228,-2149,505,-166,-2142,202,13870,445,-151,155,424,35080,-53,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,13,8,30,77,2,3779,109,2290,6,1159,10,-11,0,-7,24,0,19353,2735,1163,263,9826,-4228,272,4069,-4,0,0,-47,0,567579,0
567599,-220,-2145,219,-130,-2245,47,14043,335,-189,56,136,35077,-63,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,13,8,30,79,4,3781,32,2294,1,1157,10,-11,0,-5,23,0,19364,2767,1163,95,9826,-4228,272,4079,-4,0,0,-45,0,567597,0
567609,-221,-2232,211,-206,-2160,-80,14126,113,-278,-144,-16,35092,-60,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,11,9,30,82,6,3779,-10,2293,-2,1149,10,-11,0,-5,23,1,19353,2783,1163,0,9826,-4228,272,4089,-4,0,0,-44,0,567597,0
567619,48,-2077,-10,-361,-1622,-147,14121,-34,-339,-11,80,35099,-55,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,15,9,30,84,7,3788,76,2290,-4,1138,10,-11,0,-6,26,2,19399,2782,1164,0,9826,-4228,272,4099,-4,0,0,-42,0,567614,0
567629,-420,-2122,-105,-362,-902,-362,14137,39,-100,80,48,35106,-63,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,15,9,30,87,9,3785,-10,2281,-11,1128,10,-10,0,-9,28,2,19388,2785,1163,135,9826,-4228,272,4109,-4,0,0,-40,0,567614,0
567639,-523,-2199,49,-197,-391,-560,14133,-11,4,66,-16,35103,-68,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,12,9,30,89,10,3781,-43,2267,-17,1115,10,-10,0,-10,33,0,19364,2784,1163,112,9826,-4228,272,4119,-4,0,0,-38,0,567634,0
567649,-362,-1900,-8,-232,535,-654,14126,-33,-44,-168,-136,35107,-78,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,10,10,30,92,12,3768,-120,2247,-19,1095,9,-10,0,-10,36,0,19294,2783,1163,0,9826,-4228,272,4129,-4,0,0,-36,0,567634,0
567659,-173,-1881,-32,-294,1042,-578,14085,-120,-86,-335,-192,35098,-78,39,127,0,0,0,0,0,0,100,0,0,0,0,-1,11,10,30,94,12,3757,-87,2228,-17,1073,9,-9,0,-12,43,0,19235,2775,1163,0,9826,-4228,272,4139,-4,0,0,-34,0,567664,0
